id,commune,charge
1,Aeugst am Albis,8.7
10,Obfelden,9.9
100,Stadel,9.4
1001,Doppleschwand,13.9
1002,Entlebuch,13.4
1004,Flühli,13.3
1005,Hasle (LU),14.1
1007,Romoos,12.8
1008,Schüpfheim,13
1009,Werthenstein,13.8
101,Steinmaur,9.2
1010,Escholzmatt-Marbach,13.4
102,Weiach,8.6
1021,Aesch (LU),12.8
1022,Altwis,14.2
1023,Ballwil,10.9
1024,Emmen,12.5
1025,Ermensee,12.9
1026,Eschenbach (LU),10.7
1030,Hitzkirch,12.9
1031,Hochdorf,12.5
1032,Hohenrain,13.1
1033,Inwil,11.8
1037,Rain,12.2
1039,Römerswil,13.3
1040,Rothenburg,11.9
1041,Schongau,12.7
1051,Adligenswil,12.5
1052,Buchrain,12.2
1053,Dierikon,12
1054,Ebikon,11.9
1055,Gisikon,11.2
1056,Greppen,12.3
1057,Honau,11.4
1058,Horw,10.8
1059,Kriens,12.2
1061,Luzern,11.7
1062,Malters,12.6
1063,Meggen,8.8
1064,Meierskappel,12.7
1065,Root,12
1066,Schwarzenberg,13.4
1067,Udligenswil,12.2
1068,Vitznau,11.1
1069,Weggis,10.7
1081,Beromünster,12.2
1082,Büron,13.8
1083,Buttisholz,13.1
1084,Eich,10.5
1085,Geuensee,13.4
1086,Grosswangen,12.7
1088,Hildisrieden,11.9
1089,Knutwil,13
1091,Mauensee,12.5
1093,Neuenkirch,12.6
1094,Nottwil,12.5
1095,Oberkirch,11
1097,Rickenbach (LU),13.1
1098,Ruswil,13.1
1099,Schenkon,9.8
11,Ottenbach,9.5
1100,Schlierbach,11.8
1102,Sempach,12.5
1103,Sursee,11.7
1104,Triengen,11.6
1107,Wolhusen,13.8
111,Bäretswil,9
112,Bubikon,9
1121,Alberswil,12.8
1122,Altbüron,14
1123,Altishofen,11.8
1125,Dagmersellen,12
1126,Ebersecken,13.4
1127,Egolzwil,12.3
1128,Ettiswil,12.8
1129,Fischbach,14
113,Dürnten,9.5
1130,Gettnau,13.9
1131,Grossdietwil,14
1132,Hergiswil bei Willisau,13.4
1135,Luthern,14.1
1136,Menznau,14.5
1137,Nebikon,12.1
1139,Pfaffnau,12.7
114,Fischenthal,10.3
1140,Reiden,13.4
1142,Roggliswil,13.6
1143,Schötz,13.4
1145,Ufhusen,14.1
1146,Wauwil,12.8
1147,Wikon,12.8
115,Gossau (ZH),9.7
1150,Zell (LU),12.8
1151,Willisau,13.1
116,Grüningen,9.5
117,Hinwil,9.6
118,Rüti (ZH),9.8
119,Seegräben,9.5
12,Rifferswil,10.4
120,Wald (ZH),9.8
1201,Altdorf (UR),9.9
1202,Andermatt,11
1203,Attinghausen,9.9
1204,Bauen,10.1
1205,Bürglen (UR),9.8
1206,Erstfeld,10.7
1207,Flüelen,10
1208,Göschenen,10.9
1209,Gurtnellen,11.3
121,Wetzikon (ZH),9.7
1210,Hospental,10.4
1211,Isenthal,11.4
1212,Realp,10.2
1213,Schattdorf,9.7
1214,Seedorf (UR),9.7
1215,Seelisberg,10.9
1216,Silenen,10.5
1217,Sisikon,11.3
1218,Spiringen,11.1
1219,Unterschächen,10.7
1220,Wassen,11.2
13,Stallikon,8.7
1301,Einsiedeln,9.4
131,Adliswil,9
1311,Gersau,8.9
132,Hirzel,10.2
1321,Feusisberg,5.7
1322,Freienbach,5.7
1323,Wollerau,5.4
133,Horgen,8.3
1331,Küssnacht (SZ),7.6
134,Hütten,10.4
1341,Altendorf,7.1
1342,Galgenen,8.5
1343,Innerthal,8.5
1344,Lachen,7.2
1345,Reichenburg,9.2
1346,Schübelbach,9.3
1347,Tuggen,8.9
1348,Vorderthal,7.8
1349,Wangen (SZ),8.9
135,Kilchberg (ZH),7.7
136,Langnau am Albis,8.8
1361,Alpthal,8.4
1362,Arth,9
1363,Illgau,9.6
1364,Ingenbohl,8.8
1365,Lauerz,8.4
1366,Morschach,9.6
1367,Muotathal,8.5
1368,Oberiberg,8.6
1369,Riemenstalden,8
137,Oberrieden,8.2
1370,Rothenthurm,9.2
1371,Sattel,8.7
1372,Schwyz,8.9
1373,Steinen,9.3
1374,Steinerberg,8.5
1375,Unteriberg,8.9
138,Richterswil,9.3
139,Rüschlikon,7.7
14,Wettswil am Albis,8.2
140,Schönenberg (ZH),9.6
1401,Alpnach,10.7
1402,Engelberg,9.8
1403,Giswil,10.9
1404,Kerns,10.5
1405,Lungern,11.2
1406,Sachseln,10.2
1407,Sarnen,9.5
141,Thalwil,8.1
142,Wädenswil,9.1
1501,Beckenried,9.2
1502,Buochs,9.8
1503,Dallenwil,10.3
1504,Emmetten,9.8
1505,Ennetbürgen,8.7
1506,Ennetmoos,9.9
1507,Hergiswil (NW),8.1
1508,Oberdorf (NW),8.8
1509,Stans,9.9
151,Erlenbach (ZH),7.8
1510,Stansstad,8.7
1511,Wolfenschiessen,11.1
152,Herrliberg,7.8
153,Hombrechtikon,9.7
154,Küsnacht (ZH),7.8
155,Männedorf,8.6
156,Meilen,7.8
157,Oetwil am See,9.5
158,Stäfa,8.4
159,Uetikon am See,8.3
160,Zumikon,8.1
161,Zollikon,8
1630,Glarus Nord,11
1631,Glarus Süd,11.2
1632,Glarus,11
1701,Baar,4.4
1702,Cham,4.8
1703,Hünenberg,4.9
1704,Menzingen,5
1705,Neuheim,4.9
1706,Oberägeri,4.8
1707,Risch,4.7
1708,Steinhausen,4.6
1709,Unterägeri,4.9
1710,Walchwil,4.6
1711,Zug,4.5
172,Fehraltorf,9.2
173,Hittnau,9.5
176,Lindau,9.5
177,Pfäffikon,9.1
178,Russikon,9.4
180,Weisslingen,8.8
181,Wila,9.9
182,Wildberg,10.1
191,Dübendorf,9
192,Egg,8.7
193,Fällanden,8.6
194,Greifensee,8.5
195,Maur,8.2
196,Mönchaltorf,9.2
197,Schwerzenbach,8.9
198,Uster,9.1
199,Volketswil,8.7
2,Affoltern am Albis,9.9
200,Wangen-Brüttisellen,8.5
2004,Bussy (FR),13.2
2005,Châbles,13
2008,Châtillon (FR),12.6
2009,Cheiry,14.6
2010,Cheyres,12.6
2011,Cugy (FR),14.5
2015,Estavayer-le-Lac,14
2016,Fétigny,14.7
2022,Gletterens,12.3
2025,Lully (FR),13.7
2027,Ménières,14.5
2029,Montagny (FR),14
2033,Morens (FR),14.1
2034,Murist,14.8
2035,Nuvilly,14.4
2038,Prévondavaux,14.4
2039,Rueyres-les-Prés,14.1
2041,Saint-Aubin (FR),13.7
2043,Sévaz,13.1
2044,Surpierre,14.6
2045,Vallon,13.7
2047,Villeneuve (FR),14.5
2049,Vuissens,14.1
2050,Les Montets,13.6
2051,Delley-Portalban,11.6
2052,Vernay,14.6
2053,Belmont-Broye,13.1
2061,Auboranges,11.7
2063,Billens-Hennens,15.3
2066,Chapelle (Glâne),14.3
2067,Le Châtelard,15.5
2068,Châtonnaye,14.2
2072,Ecublens (FR),14.5
2079,Grangettes,13.8
2086,Massonnens,15
2087,Mézières (FR),14.8
2089,Montet (Glâne),12.9
2096,Romont (FR),14.4
2097,Rue,14.1
2099,Siviriez,13.1
21,Adlikon,9.7
2102,Ursy,13.4
211,Altikon,9.4
2111,Villaz-Saint-Pierre,13.9
2113,Vuisternens-devant-Romont,14.5
2114,Villorsonnens,13.5
2115,Torny,13.3
2116,La Folliaz,14.2
2121,Haut-Intyamon,15.1
