id,commune,charge
1,Aeugst am Albis,12.5
10,Obfelden,14.1
100,Stadel,13.3
1001,Doppleschwand,16.4
1002,Entlebuch,15.9
1004,Flühli,15.7
1005,Hasle (LU),16.6
1007,Romoos,15.1
1008,Schüpfheim,15.3
1009,Werthenstein,16.2
101,Steinmaur,13.1
1010,Escholzmatt-Marbach,15.9
102,Weiach,12.3
1021,Aesch (LU),15.1
1022,Altwis,16.7
1023,Ballwil,12.9
1024,Emmen,14.7
1025,Ermensee,15.2
1026,Eschenbach (LU),12.6
1030,Hitzkirch,15.2
1031,Hochdorf,14.8
1032,Hohenrain,15.5
1033,Inwil,14
1037,Rain,14.3
1039,Römerswil,15.7
1040,Rothenburg,14
1041,Schongau,15
1051,Adligenswil,14.7
1052,Buchrain,14.5
1053,Dierikon,14.2
1054,Ebikon,14
1055,Gisikon,13.2
1056,Greppen,14.6
1057,Honau,13.4
1058,Horw,12.7
1059,Kriens,14.5
1061,Luzern,13.8
1062,Malters,14.8
1063,Meggen,10.3
1064,Meierskappel,14.9
1065,Root,14.2
1066,Schwarzenberg,15.9
1067,Udligenswil,14.4
1068,Vitznau,13.1
1069,Weggis,12.7
1081,Beromünster,14.5
1082,Büron,16.3
1083,Buttisholz,15.5
1084,Eich,12.4
1085,Geuensee,15.8
1086,Grosswangen,15
1088,Hildisrieden,14
1089,Knutwil,15.3
1091,Mauensee,14.8
1093,Neuenkirch,14.8
1094,Nottwil,14.7
1095,Oberkirch,12.9
1097,Rickenbach (LU),15.5
1098,Ruswil,15.5
1099,Schenkon,11.6
11,Ottenbach,13.6
1100,Schlierbach,13.9
1102,Sempach,14.8
1103,Sursee,13.8
1104,Triengen,13.7
1107,Wolhusen,16.2
111,Bäretswil,12.8
112,Bubikon,12.8
1121,Alberswil,15.1
1122,Altbüron,16.5
1123,Altishofen,13.9
1125,Dagmersellen,14.2
1126,Ebersecken,15.8
1127,Egolzwil,14.6
1128,Ettiswil,15.1
1129,Fischbach,16.5
113,Dürnten,13.6
1130,Gettnau,16.4
1131,Grossdietwil,16.5
1132,Hergiswil bei Willisau,15.9
1135,Luthern,16.6
1136,Menznau,17.2
1137,Nebikon,14.3
1139,Pfaffnau,14.9
114,Fischenthal,14.7
1140,Reiden,15.9
1142,Roggliswil,16.1
1143,Schötz,15.9
1145,Ufhusen,16.6
1146,Wauwil,15.1
1147,Wikon,15.1
115,Gossau (ZH),13.8
1150,Zell (LU),15.1
1151,Willisau,15.4
116,Grüningen,13.5
117,Hinwil,13.7
118,Rüti (ZH),13.9
119,Seegräben,13.5
12,Rifferswil,14.8
120,Wald (ZH),13.9
1201,Altdorf (UR),11.2
1202,Andermatt,12.5
1203,Attinghausen,11.3
1204,Bauen,11.5
1205,Bürglen (UR),11.2
1206,Erstfeld,12.2
1207,Flüelen,11.4
1208,Göschenen,12.4
1209,Gurtnellen,12.9
121,Wetzikon (ZH),13.8
1210,Hospental,11.9
1211,Isenthal,13
1212,Realp,11.6
1213,Schattdorf,11
1214,Seedorf (UR),11
1215,Seelisberg,12.4
1216,Silenen,12
1217,Sisikon,12.8
1218,Spiringen,12.7
1219,Unterschächen,12.2
1220,Wassen,12.8
13,Stallikon,12.4
1301,Einsiedeln,12.2
131,Adliswil,12.8
1311,Gersau,11.5
132,Hirzel,14.5
1321,Feusisberg,7.3
1322,Freienbach,7.4
1323,Wollerau,7
133,Horgen,11.8
1331,Küssnacht (SZ),9.8
134,Hütten,14.8
1341,Altendorf,9.2
1342,Galgenen,11
1343,Innerthal,11
1344,Lachen,9.3
1345,Reichenburg,11.9
1346,Schübelbach,12.1
1347,Tuggen,11.5
1348,Vorderthal,10.2
1349,Wangen (SZ),11.5
135,Kilchberg (ZH),11
136,Langnau am Albis,12.6
1361,Alpthal,10.9
1362,Arth,11.6
1363,Illgau,12.5
1364,Ingenbohl,11.4
1365,Lauerz,10.9
1366,Morschach,12.4
1367,Muotathal,11
1368,Oberiberg,11.2
1369,Riemenstalden,10.4
137,Oberrieden,11.6
1370,Rothenthurm,11.9
1371,Sattel,11.3
1372,Schwyz,11.6
1373,Steinen,12
1374,Steinerberg,11.1
1375,Unteriberg,11.5
138,Richterswil,13.2
139,Rüschlikon,11
14,Wettswil am Albis,11.7
140,Schönenberg (ZH),13.6
1401,Alpnach,12.1
1402,Engelberg,11.1
1403,Giswil,12.3
1404,Kerns,11.9
1405,Lungern,12.7
1406,Sachseln,11.5
1407,Sarnen,10.8
141,Thalwil,11.6
142,Wädenswil,12.9
1501,Beckenried,11.2
1502,Buochs,11.8
1503,Dallenwil,12.5
1504,Emmetten,11.9
1505,Ennetbürgen,10.6
1506,Ennetmoos,12
1507,Hergiswil (NW),9.8
1508,Oberdorf (NW),10.6
1509,Stans,12
151,Erlenbach (ZH),11.2
1510,Stansstad,10.5
1511,Wolfenschiessen,13.5
152,Herrliberg,11.1
153,Hombrechtikon,13.8
154,Küsnacht (ZH),11
155,Männedorf,12.3
156,Meilen,11.2
157,Oetwil am See,13.6
158,Stäfa,12
159,Uetikon am See,11.8
160,Zumikon,11.5
161,Zollikon,11.3
1630,Glarus Nord,13.7
1631,Glarus Süd,14
1632,Glarus,13.8
1701,Baar,8.8
1702,Cham,9.5
1703,Hünenberg,9.8
1704,Menzingen,9.9
1705,Neuheim,9.7
1706,Oberägeri,9.6
1707,Risch,9.4
1708,Steinhausen,9.3
1709,Unterägeri,9.8
1710,Walchwil,9.1
1711,Zug,9
172,Fehraltorf,13.1
173,Hittnau,13.6
176,Lindau,13.5
177,Pfäffikon,12.9
178,Russikon,13.4
180,Weisslingen,12.6
181,Wila,14.1
182,Wildberg,14.4
191,Dübendorf,12.8
192,Egg,12.3
193,Fällanden,12.3
194,Greifensee,12
195,Maur,11.7
196,Mönchaltorf,13.1
197,Schwerzenbach,12.7
198,Uster,13
199,Volketswil,12.5
2,Affoltern am Albis,14.1
200,Wangen-Brüttisellen,12.2
2004,Bussy (FR),17.4
2005,Châbles,17.1
2008,Châtillon (FR),16.6
2009,Cheiry,19.3
2010,Cheyres,16.6
2011,Cugy (FR),19.1
2015,Estavayer-le-Lac,18.4
2016,Fétigny,19.4
2022,Gletterens,16.2
2025,Lully (FR),18
2027,Ménières,19.1
2029,Montagny (FR),18.5
2033,Morens (FR),18.6
2034,Murist,19.5
2035,Nuvilly,19
2038,Prévondavaux,19
2039,Rueyres-les-Prés,18.6
2041,Saint-Aubin (FR),18
2043,Sévaz,17.3
2044,Surpierre,19.3
2045,Vallon,18
2047,Villeneuve (FR),19.1
2049,Vuissens,18.5
2050,Les Montets,18
2051,Delley-Portalban,15.3
2052,Vernay,19.2
2053,Belmont-Broye,17.2
2061,Auboranges,15.4
2063,Billens-Hennens,20.1
2066,Chapelle (Glâne),18.8
2067,Le Châtelard,20.4
2068,Châtonnaye,18.7
2072,Ecublens (FR),19.1
2079,Grangettes,18.1
2086,Massonnens,19.8
2087,Mézières (FR),19.5
2089,Montet (Glâne),17
2096,Romont (FR),19
2097,Rue,18.6
2099,Siviriez,17.3
21,Adlikon,13.8
2102,Ursy,17.6
211,Altikon,13.3
2111,Villaz-Saint-Pierre,18.2
2113,Vuisternens-devant-Romont,19.1
2114,Villorsonnens,17.7
2115,Torny,17.5
2116,La Folliaz,18.7
2121,Haut-Intyamon,19.8
2122,Pont-en-Ogoz,17.4
2123,Botterens,18.7
2124,Broc,19.4
2125,Bulle,17.1
2128,Châtel-sur-Montsalvens,18
2129,Corbières,17.6
213,Brütten,11.9
2130,Crésuz,17.1
2131,Echarlens,17.1
2134,Grandvillard,18.2
2135,Gruyères,18.5
2137,Hauteville,18.2
2138,Jaun,20.6
214,Dägerlen,13.8
2140,Marsens,17.4
2143,Morlon,18.6
2145,Le Pâquier (FR),18.8
2147,Pont-la-Ville,18.4
2148,Riaz,17.3
2149,La Roche,18.7
215,Dättlikon,13
2152,Sâles,17.9
2153,Sorens,18.5
2155,Vaulruz,18.1
216,Dinhard,11.9
2160,Vuadens,18.7
2162,Bas-Intyamon,18.5
2163,Val-de-Charmey,19.4
217,Elgg,13.9
2171,Arconciel,18.5
2173,Autigny,19.1
2174,Avry,16.9
2175,Belfaux,18.1
2177,Chénens,18.3
2179,Chésopelloz,17.6
218,Ellikon an der Thur,13.3
2183,Corminboeuf,17.5
2185,Corserey,18.9
2186,Cottens (FR),18.5
2189,Ependes (FR),18.8
219,Elsau,13.9
2194,Ferpicloz,15.1
2196,Fribourg,18.1
2197,Givisiez,16.7
2198,Granges-Paccot,16.5
22,Benken (ZH),13.8
220,Hagenbuch,13.4
2200,Grolley,18.7
2206,Marly,17.8
2208,Matran,16.2
221,Hettlingen,12.5
2211,Neyruz (FR),18.4
2213,Noréaz,18.2
2216,Pierrafortscha,18.3
2217,Ponthaux,19.1
222,Hofstetten (ZH),14.7
2220,Le Mouret,18.1
2221,Prez-vers-Noréaz,18.6
2225,Senèdes,18.9
2226,Treyvaux,19.3
2228,Villars-sur-Glâne,16.2
223,Neftenbach,13.1
2230,Villarsel-sur-Marly,18.8
2233,Hauterive (FR),17.4
2234,La Brillaz,19.1
2235,La Sonnaz,18.4
2236,Gibloux,18.6
224,Pfungen,13.1
2243,Barberêche,19.3
225,Rickenbach (ZH),12.9
2250,Courgevaux,17.6
2254,Courtepin,18.8
2257,Cressier (FR),17.1
2258,Fräschels,17.5
2259,Galmiz,17.3
226,Schlatt (ZH),14.2
2260,Gempenach,16.8
2261,Greng,13.4
2262,Gurmels,18.6
2265,Kerzers,18.5
2266,Kleinbösingen,16.7
227,Seuzach,11.7
2271,Meyriez,15.4
2272,Misery-Courtion,19.1
2274,Muntelier,15.9
2275,Murten,16.3
2276,Ried bei Kerzers,17.3
2278,Ulmiz,18
2279,Villarepos,19
228,Turbenthal,13.9
2283,Wallenried,19.2
2284,Mont-Vully,16.1
2291,Alterswil,18.2
2292,Brünisried,19.8
2293,Düdingen,18.2
2294,Giffers,18.7
2295,Bösingen,18.3
2296,Heitenried,18.9
2298,Oberschrot,20.1
2299,Plaffeien,20.1
23,Berg am Irchel,13.2
230,Winterthur,14.2
2300,Plasselb,19.8
2301,Rechthalten,19.4
2302,St. Antoni,19.3
2303,St. Silvester,19.9
2304,St. Ursen,18.4
2305,Schmitten (FR),18.3
2306,Tafers,18.1
2307,Tentlingen,17.7
2308,Ueberstorf,19.1
2309,Wünnewil-Flamatt,18.9
231,Zell (ZH),13.8
2310,Zumholz,20.3
2321,Attalens,17.9
2323,Bossonnens,19.3
2325,Châtel-Saint-Denis,18.2
2328,Granges (Veveyse),17.3
2333,Remaufens,18.9
2335,Saint-Martin (FR),18.9
2336,Semsales,18.4
2337,Le Flon,19.5
2338,La Verrerie,18.9
24,Buch am Irchel,13.2
2401,Egerkingen,17.5
2402,Härkingen,16.3
2403,Kestenholz,18.6
2404,Neuendorf,18.5
2405,Niederbuchsiten,17.9
2406,Oberbuchsiten,18.3
2407,Oensingen,17.2
2408,Wolfwil,18.6
241,Aesch (ZH),11.7
242,Birmensdorf (ZH),13.1
2421,Aedermannsdorf,19.6
2422,Balsthal,19
2423,Gänsbrunnen,20.2
2424,Herbetswil,20.1
2425,Holderbank (SO),21.2
2426,Laupersdorf,19.3
2427,Matzendorf,19.8
2428,Mümliswil-Ramiswil,19.5
2429,Welschenrohr,20.1
243,Dietikon,14.4
244,Geroldswil,12.3
2445,Biezwil,18.7
245,Oberengstringen,13.4
2455,Lüterkofen-Ichertswil,17.9
2456,Lüterswil-Gächliwil,18.3
2457,Messen,19
246,Oetwil an der Limmat,12.2
2461,Schnottwil,18.9
2463,Unterramsern,18.3
2464,Lüsslingen-Nennigkofen,18.3
2465,Buchegg,17.9
247,Schlieren,13.4
2471,Bättwil,19.1
2472,Büren (SO),19.2
2473,Dornach,16.6
2474,Gempen,18.6
2475,Hochwald,18.5
2476,Hofstetten-Flüh,18.4
2477,Metzerlen-Mariastein,19.6
2478,Nuglar-St. Pantaleon,18.8
2479,Rodersdorf,18.7
248,Uitikon,11.5
2480,Seewen,19.5
2481,Witterswil,18.3
249,Unterengstringen,12.6
2491,Hauenstein-Ifenthal,19.4
2492,Kienberg,20.4
2493,Lostorf,17.7
2495,Niedergösgen,17.4
2497,Obergösgen,18.7
2498,Rohr (SO),18.7
2499,Stüsslingen,18.6
25,Dachsen,13.3
250,Urdorf,13.6
2500,Trimbach,18.9
2501,Winznau,18.9
2502,Wisen (SO),19.2
2503,Erlinsbach (SO),16.7
251,Weiningen (ZH),12.6
2511,Aeschi (SO),17.9
2513,Biberist,18.9
2514,Bolken,19.4
2516,Deitingen,18.5
2517,Derendingen,19.6
2518,Etziken,19
2519,Gerlafingen,19.1
2520,Halten,18.4
2523,Horriwil,18.8
2524,Hüniken,17.5
2525,Kriegstetten,18.7
2526,Lohn-Ammannsegg,16.8
2527,Luterbach,19.4
2528,Obergerlafingen,17.2
2529,Oekingen,18.7
2530,Recherswil,19
2532,Subingen,19.3
2534,Zuchwil,19
2535,Drei Höfe,18.8
2541,Balm bei Günsberg,17.4
2542,Bellach,18.7
2543,Bettlach,16.5
2544,Feldbrunnen-St. Niklaus,13.8
2545,Flumenthal,18.9
2546,Grenchen,18.8
2547,Günsberg,18.6
2548,Hubersdorf,18.3
2549,Kammersrohr,13.9
2550,Langendorf,18.3
2551,Lommiswil,19.2
2553,Oberdorf (SO),19
2554,Riedholz,17.9
2555,Rüttenen,17.9
2556,Selzach,17.9
2571,Boningen,18.1
2572,Däniken,15.3
2573,Dulliken,18.4
2574,Eppenberg-Wöschnau,17.1
2575,Fulenbach,17.8
2576,Gretzenbach,18.2
2578,Gunzgen,17.7
2579,Hägendorf,17.3
2580,Kappel (SO),18.6
