id,commune,population
1,Aeugst am Albis,1977
10,Obfelden,5131
100,Stadel,2227
1001,Doppleschwand,767
1002,Entlebuch,3367
1004,Flühli,1937
1005,Hasle (LU),1746
1007,Romoos,667
1008,Schüpfheim,4188
1009,Werthenstein,2040
101,Steinmaur,3464
1010,Escholzmatt-Marbach,4358
102,Weiach,1483
1021,Aesch (LU),1141
1022,Altwis,411
1023,Ballwil,2794
1024,Emmen,30228
1025,Ermensee,955
1026,Eschenbach (LU),3684
1030,Hitzkirch,5190
1031,Hochdorf,9814
1032,Hohenrain,2531
1033,Inwil,2429
1037,Rain,2659
1039,Römerswil,1763
1040,Rothenburg,7430
1041,Schongau,1020
1051,Adligenswil,5352
1052,Buchrain,6192
1053,Dierikon,1481
1054,Ebikon,13313
1055,Gisikon,1287
1056,Greppen,1052
1057,Honau,363
1058,Horw,13884
1059,Kriens,27110
1061,Luzern,81592
1062,Malters,7108
1063,Meggen,7002
1064,Meierskappel,1371
1065,Root,4754
1066,Schwarzenberg,1719
1067,Udligenswil,2285
1068,Vitznau,1339
1069,Weggis,4381
1081,Beromünster,6517
1082,Büron,2357
1083,Buttisholz,3248
1084,Eich,1658
1085,Geuensee,2906
1086,Grosswangen,3162
1088,Hildisrieden,2214
1089,Knutwil,2154
1091,Mauensee,1414
1093,Neuenkirch,6957
1094,Nottwil,3728
1095,Oberkirch,4636
1097,Rickenbach (LU),3248
1098,Ruswil,6908
1099,Schenkon,2816
11,Ottenbach,2591
1100,Schlierbach,840
1102,Sempach,4106
1103,Sursee,9621
1104,Triengen,4587
1107,Wolhusen,4299
111,Bäretswil,5060
112,Bubikon,7115
1121,Alberswil,648
1122,Altbüron,1013
1123,Altishofen,1548
1125,Dagmersellen,5287
1126,Ebersecken,395
1127,Egolzwil,1439
1128,Ettiswil,2718
1129,Fischbach,699
113,Dürnten,7530
1130,Gettnau,1120
1131,Grossdietwil,838
1132,Hergiswil bei Willisau,1890
1135,Luthern,1281
1136,Menznau,2897
1137,Nebikon,2600
1139,Pfaffnau,2653
114,Fischenthal,2480
1140,Reiden,7008
1142,Roggliswil,682
1143,Schötz,4272
1145,Ufhusen,891
1146,Wauwil,2130
1147,Wikon,1506
115,Gossau (ZH),9827
1150,Zell (LU),2025
1151,Willisau,7777
116,Grüningen,3401
117,Hinwil,11095
118,Rüti (ZH),12086
119,Seegräben,1443
12,Rifferswil,1078
120,Wald (ZH),9645
1201,Altdorf (UR),9211
1202,Andermatt,1355
1203,Attinghausen,1650
1204,Bauen,164
1205,Bürglen (UR),4021
1206,Erstfeld,3765
1207,Flüelen,2002
1208,Göschenen,450
1209,Gurtnellen,563
121,Wetzikon (ZH),24640
1210,Hospental,188
1211,Isenthal,503
1212,Realp,145
1213,Schattdorf,5248
1214,Seedorf (UR),1794
1215,Seelisberg,683
1216,Silenen,2045
1217,Sisikon,373
1218,Spiringen,834
1219,Unterschächen,710
1220,Wassen,441
13,Stallikon,3646
1301,Einsiedeln,15361
131,Adliswil,18742
1311,Gersau,2260
132,Hirzel,2185
1321,Feusisberg,5237
1322,Freienbach,16196
1323,Wollerau,7102
133,Horgen,20291
1331,Küssnacht (SZ),12512
134,Hütten,900
1341,Altendorf,6907
1342,Galgenen,5199
1343,Innerthal,193
1344,Lachen,8599
1345,Reichenburg,3566
1346,Schübelbach,9073
1347,Tuggen,3239
1348,Vorderthal,1016
1349,Wangen (SZ),4989
135,Kilchberg (ZH),8380
136,Langnau am Albis,7502
1361,Alpthal,612
1362,Arth,11735
1363,Illgau,794
1364,Ingenbohl,8758
1365,Lauerz,1067
1366,Morschach,1107
1367,Muotathal,3543
1368,Oberiberg,885
1369,Riemenstalden,88
137,Oberrieden,5035
1370,Rothenthurm,2375
1371,Sattel,1926
1372,Schwyz,14885
1373,Steinen,3358
1374,Steinerberg,916
1375,Unteriberg,2365
138,Richterswil,13352
139,Rüschlikon,5744
14,Wettswil am Albis,5123
140,Schönenberg (ZH),1849
1401,Alpnach,5997
1402,Engelberg,4134
1403,Giswil,3631
1404,Kerns,6194
1405,Lungern,2129
1406,Sachseln,5060
1407,Sarnen,10233
141,Thalwil,17789
142,Wädenswil,21797
1501,Beckenried,3567
1502,Buochs,5389
1503,Dallenwil,1832
1504,Emmetten,1384
1505,Ennetbürgen,4567
1506,Ennetmoos,2108
1507,Hergiswil (NW),5682
1508,Oberdorf (NW),3135
1509,Stans,8333
151,Erlenbach (ZH),5517
1510,Stansstad,4423
1511,Wolfenschiessen,2136
152,Herrliberg,6300
153,Hombrechtikon,8620
154,Küsnacht (ZH),14192
155,Männedorf,10830
156,Meilen,13762
157,Oetwil am See,4743
158,Stäfa,14291
159,Uetikon am See,6076
160,Zumikon,5158
161,Zollikon,12791
1630,Glarus Nord,18057
1631,Glarus Süd,9575
1632,Glarus,12515
1701,Baar,24129
1702,Cham,16216
1703,Hünenberg,8827
1704,Menzingen,4467
1705,Neuheim,2219
1706,Oberägeri,5994
1707,Risch,10355
1708,Steinhausen,9735
1709,Unterägeri,8576
1710,Walchwil,3626
1711,Zug,29804
172,Fehraltorf,6361
173,Hittnau,3604
176,Lindau,5489
177,Pfäffikon,11774
178,Russikon,4361
180,Weisslingen,3278
181,Wila,1947
182,Wildberg,985
191,Dübendorf,27689
192,Egg,8405
193,Fällanden,8417
194,Greifensee,5381
195,Maur,10067
196,Mönchaltorf,3701
197,Schwerzenbach,5069
198,Uster,34319
199,Volketswil,18582
2,Affoltern am Albis,11900
200,Wangen-Brüttisellen,7860
2004,Bussy (FR),496
2005,Châbles,788
2008,Châtillon (FR),459
2009,Cheiry,388
2010,Cheyres,1434
2011,Cugy (FR),1690
2015,Estavayer-le-Lac,6291
2016,Fétigny,978
2022,Gletterens,1033
2025,Lully (FR),1163
2027,Ménières,410
2029,Montagny (FR),2404
2033,Morens (FR),178
2034,Murist,631
2035,Nuvilly,407
2038,Prévondavaux,69
2039,Rueyres-les-Prés,474
2041,Saint-Aubin (FR),1706
2043,Sévaz,278
2044,Surpierre,328
2045,Vallon,412
2047,Villeneuve (FR),384
2049,Vuissens,254
2050,Les Montets,1423
2051,Delley-Portalban,1086
2052,Vernay,1110
2053,Belmont-Broye,5402
2061,Auboranges,282
2063,Billens-Hennens,729
2066,Chapelle (Glâne),277
2067,Le Châtelard,385
2068,Châtonnaye,823
2072,Ecublens (FR),332
2079,Grangettes,185
2086,Massonnens,510
2087,Mézières (FR),998
2089,Montet (Glâne),389
2096,Romont (FR),5204
2097,Rue,1500
2099,Siviriez,2214
21,Adlikon,666
2102,Ursy,3030
211,Altikon,658
2111,Villaz-Saint-Pierre,1285
2113,Vuisternens-devant-Romont,2271
2114,Villorsonnens,1347
2115,Torny,896
2116,La Folliaz,971
2121,Haut-Intyamon,1541
2122,Pont-en-Ogoz,1801
2123,Botterens,569
2124,Broc,2632
2125,Bulle,22523
2128,Châtel-sur-Montsalvens,276
2129,Corbières,857
213,Brütten,2030
2130,Crésuz,333
2131,Echarlens,802
2134,Grandvillard,812
2135,Gruyères,2194
2137,Hauteville,663
2138,Jaun,671
214,Dägerlen,999
2140,Marsens,1871
2143,Morlon,587
2145,Le Pâquier (FR),1168
2147,Pont-la-Ville,584
2148,Riaz,2496
2149,La Roche,1644
215,Dättlikon,781
2152,Sâles,1446
2153,Sorens,1082
2155,Vaulruz,1045
216,Dinhard,1534
2160,Vuadens,2296
2162,Bas-Intyamon,1324
2163,Val-de-Charmey,2435
217,Elgg,4323
2171,Arconciel,913
2173,Autigny,792
2174,Avry,1864
2175,Belfaux,3348
2177,Chénens,844
2179,Chésopelloz,130
218,Ellikon an der Thur,891
2183,Corminboeuf,2324
2185,Corserey,409
2186,Cottens (FR),1473
2189,Ependes (FR),1117
219,Elsau,3558
2194,Ferpicloz,277
2196,Fribourg,38829
2197,Givisiez,3178
2198,Granges-Paccot,3606
22,Benken (ZH),857
220,Hagenbuch,1095
2200,Grolley,1945
2206,Marly,8185
2208,Matran,1533
221,Hettlingen,3168
2211,Neyruz (FR),2587
2213,Noréaz,652
2216,Pierrafortscha,148
2217,Ponthaux,723
222,Hofstetten (ZH),498
2220,Le Mouret,3156
2221,Prez-vers-Noréaz,1043
2225,Senèdes,157
2226,Treyvaux,1449
2228,Villars-sur-Glâne,12128
223,Neftenbach,5564
2230,Villarsel-sur-Marly,79
2233,Hauterive (FR),2431
2234,La Brillaz,1983
2235,La Sonnaz,1092
2236,Gibloux,7236
224,Pfungen,3769
2243,Barberêche,544
225,Rickenbach (ZH),2701
2250,Courgevaux,1408
2254,Courtepin,3751
2257,Cressier (FR),942
2258,Fräschels,461
2259,Galmiz,672
226,Schlatt (ZH),745
2260,Gempenach,297
2261,Greng,175
2262,Gurmels,4181
2265,Kerzers,4911
2266,Kleinbösingen,641
227,Seuzach,7265
2271,Meyriez,580
2272,Misery-Courtion,1909
2274,Muntelier,953
2275,Murten,8168
2276,Ried bei Kerzers,1159
2278,Ulmiz,424
2279,Villarepos,648
228,Turbenthal,4681
2283,Wallenried,455
2284,Mont-Vully,3556
2291,Alterswil,2037
2292,Brünisried,648
2293,Düdingen,7825
2294,Giffers,1561
2295,Bösingen,3412
2296,Heitenried,1365
2298,Oberschrot,1184
2299,Plaffeien,1997
23,Berg am Irchel,567
230,Winterthur,109775
2300,Plasselb,1040
2301,Rechthalten,1068
2302,St. Antoni,2044
2303,St. Silvester,986
2304,St. Ursen,1319
2305,Schmitten (FR),4072
2306,Tafers,3330
2307,Tentlingen,1323
2308,Ueberstorf,2343
2309,Wünnewil-Flamatt,5470
231,Zell (ZH),5756
2310,Zumholz,385
2321,Attalens,3353
2323,Bossonnens,1475
2325,Châtel-Saint-Denis,6528
2328,Granges (Veveyse),847
2333,Remaufens,1086
2335,Saint-Martin (FR),1015
2336,Semsales,1435
2337,Le Flon,1186
2338,La Verrerie,1158
24,Buch am Irchel,957
2401,Egerkingen,3527
2402,Härkingen,1554
2403,Kestenholz,1795
2404,Neuendorf,2089
2405,Niederbuchsiten,1142
2406,Oberbuchsiten,2173
2407,Oensingen,6263
2408,Wolfwil,2144
241,Aesch (ZH),1275
242,Birmensdorf (ZH),6313
2421,Aedermannsdorf,556
2422,Balsthal,6099
2423,Gänsbrunnen,91
2424,Herbetswil,541
2425,Holderbank (SO),664
2426,Laupersdorf,1729
2427,Matzendorf,1323
2428,Mümliswil-Ramiswil,2456
2429,Welschenrohr,1082
243,Dietikon,27076
244,Geroldswil,4958
2445,Biezwil,340
245,Oberengstringen,6611
2455,Lüterkofen-Ichertswil,783
2456,Lüterswil-Gächliwil,327
2457,Messen,1484
246,Oetwil an der Limmat,2451
2461,Schnottwil,1082
2463,Unterramsern,207
2464,Lüsslingen-Nennigkofen,1062
2465,Buchegg,2532
247,Schlieren,18749
2471,Bättwil,1195
2472,Büren (SO),1008
2473,Dornach,6611
2474,Gempen,884
2475,Hochwald,1308
2476,Hofstetten-Flüh,3183
2477,Metzerlen-Mariastein,934
2478,Nuglar-St. Pantaleon,1503
2479,Rodersdorf,1313
248,Uitikon,4155
2480,Seewen,1017
2481,Witterswil,1486
249,Unterengstringen,3758
2491,Hauenstein-Ifenthal,309
2492,Kienberg,527
2493,Lostorf,3942
2495,Niedergösgen,3831
2497,Obergösgen,2199
2498,Rohr (SO),95
2499,Stüsslingen,1062
25,Dachsen,1998
250,Urdorf,9657
2500,Trimbach,6553
2501,Winznau,1827
2502,Wisen (SO),403
2503,Erlinsbach (SO),3447
251,Weiningen (ZH),4770
2511,Aeschi (SO),1213
2513,Biberist,8370
2514,Bolken,590
2516,Deitingen,2224
2517,Derendingen,6437
2518,Etziken,825
2519,Gerlafingen,5065
2520,Halten,873
2523,Horriwil,870
2524,Hüniken,100
2525,Kriegstetten,1282
2526,Lohn-Ammannsegg,2772
2527,Luterbach,3506
2528,Obergerlafingen,1137
2529,Oekingen,833
2530,Recherswil,1932
2532,Subingen,3102
2534,Zuchwil,8842
2535,Drei Höfe,731
2541,Balm bei Günsberg,203
2542,Bellach,5239
2543,Bettlach,4905
2544,Feldbrunnen-St. Niklaus,982
2545,Flumenthal,964
2546,Grenchen,16985
2547,Günsberg,1181
2548,Hubersdorf,742
2549,Kammersrohr,30
2550,Langendorf,3732
2551,Lommiswil,1501
2553,Oberdorf (SO),1685
2554,Riedholz,2296
2555,Rüttenen,1491
2556,Selzach,3397
2571,Boningen,770
2572,Däniken,2776
2573,Dulliken,4910
2574,Eppenberg-Wöschnau,325
2575,Fulenbach,1742
2576,Gretzenbach,2703
2578,Gunzgen,1659
2579,Hägendorf,4949
2580,Kappel (SO),3157
2581,Olten,18166
2582,Rickenbach (SO),904
2583,Schönenwerd,4948
2584,Starrkirch-Wil,1706
2585,Walterswil (SO),696
2586,Wangen bei Olten,5087
26,Dorf,629
2601,Solothurn,16697
261,Zürich,402762
2611,Bärschwil,817
2612,Beinwil (SO),246
2613,Breitenbach,3849
2614,Büsserach,2251
2615,Erschwil,906
2616,Fehren,594
2617,Grindel,491
2618,Himmelried,926
2619,Kleinlützel,1255
2620,Meltingen,663
2621,Nunningen,1878
2622,Zullwil,651
27,Feuerthalen,3596
2701,Basel,171017
2702,Bettingen,1158
2703,Riehen,20895
2761,Aesch (BL),10184
2762,Allschwil,20695
2763,Arlesheim,9287
2764,Biel-Benken,3408
2765,Binningen,15391
2766,Birsfelden,10469
2767,Bottmingen,6528
2768,Ettingen,5041
2769,Münchenstein,12119
2770,Muttenz,17723
2771,Oberwil (BL),11245
2772,Pfeffingen,2363
2773,Reinach (BL),19021
2774,Schönenbuch,1391
2775,Therwil,10008
2781,Blauen,694
2782,Brislach,1638
2783,Burg im Leimental,261
2784,Dittingen,740
2785,Duggingen,1540
2786,Grellingen,1850
2787,Laufen,5535
2788,Liesberg,1131
2789,Nenzlingen,430
2790,Roggenburg,281
2791,Röschenz,1831
2792,Wahlen,1421
2793,Zwingen,2274
28,Flaach,1362
2821,Arisdorf,1657
2822,Augst,1001
2823,Bubendorf,4401
2824,Frenkendorf,6507
2825,Füllinsdorf,4404
2826,Giebenach,1039
2827,Hersberg,330
2828,Lausen,5054
2829,Liestal,14148
2830,Lupsingen,1405
2831,Pratteln,16153
2832,Ramlinsburg,712
2833,Seltisberg,1306
2834,Ziefen,1542
2841,Anwil,581
2842,Böckten,799
2843,Buckten,696
2844,Buus,999
2845,Diepflingen,746
2846,Gelterkinden,6013
2847,Häfelfingen,253
2848,Hemmiken,260
2849,Itingen,2096
2850,Känerkinden,523
2851,Kilchberg (BL),157
2852,Läufelfingen,1314
2853,Maisprach,944
2854,Nusshof,257
2855,Oltingen,486
2856,Ormalingen,2176
2857,Rickenbach (BL),601
2858,Rothenfluh,767
2859,Rümlingen,388
2860,Rünenberg,777
2861,Sissach,6733
2862,Tecknau,858
2863,Tenniken,934
2864,Thürnen,1419
2865,Wenslingen,709
2866,Wintersingen,609
2867,Wittinsburg,421
2868,Zeglingen,485
2869,Zunzgen,2498
2881,Arboldswil,561
2882,Bennwil,641
2883,Bretzwil,775
2884,Diegten,1623
2885,Eptingen,520
2886,Hölstein,2457
2887,Lampenberg,503
2888,Langenbruck,955
2889,Lauwil,333
2890,Liedertswil,166
2891,Niederdorf,1825
2892,Oberdorf (BL),2430
2893,Reigoldswil,1591
2894,Titterten,408
2895,Waldenburg,1179
29,Flurlingen,1434
2901,Gächlingen,828
2903,Löhningen,1444
2904,Neunkirch,2131
2914,Büttenhardt,360
2915,Dörflingen,982
2917,Lohn (SH),765
2919,Stetten (SH),1348
2920,Thayngen,5422
2931,Bargen (SH),302
2932,Beringen,4656
2933,Buchberg,823
2936,Merishausen,859
2937,Neuhausen am Rheinfall,10407
2938,Rüdlingen,749
2939,Schaffhausen,36148
2951,Beggingen,476
2952,Schleitheim,1675
2953,Siblingen,847
296,Illnau-Effretikon,16796
2961,Buch (SH),313
2962,Hemishofen,472
2963,Ramsen,1443
2964,Stein am Rhein,3421
297,Bauma,4909
2971,Hallau,2118
2972,Oberhallau,446
2973,Trasadingen,603
2974,Wilchingen,1731
298,Wiesendangen,6296
3,Bonstetten,5435
30,Andelfingen,2224
3001,Herisau,15730
3002,Hundwil,956
3003,Schönengrund,516
3004,Schwellbrunn,1565
3005,Stein (AR),1418
3006,Urnäsch,2271
3007,Waldstatt,1767
301,Aarberg,4527
302,Bargen (BE),1004
3021,Bühler,1746
3022,Gais,3106
3023,Speicher,4227
3024,Teufen (AR),6201
3025,Trogen,1750
303,Grossaffoltern,3005
3031,Grub (AR),1040
3032,Heiden,4210
3033,Lutzenberg,1243
3034,Rehetobel,1773
3035,Reute (AR),699
3036,Wald (AR),864
3037,Walzenhausen,2034
3038,Wolfhalden,1838
304,Kallnach,1910
305,Kappelen,1475
306,Lyss,14706
307,Meikirch,2465
309,Radelfingen,1240
31,Henggart,2242
310,Rapperswil (BE),2608
3101,Appenzell,5825
3102,Gonten,1434
3103,Rüte,3543
3104,Schlatt-Haslen,1102
3105,Schwende,2193
311,Schüpfen,3719
3111,Oberegg,1906
312,Seedorf (BE),3097
32,Humlikon,496
3201,Häggenschwil,1310
3202,Muolen,1208
3203,St. Gallen,75481
3204,Wittenbach,9779
321,Aarwangen,4518
3211,Berg (SG),843
3212,Eggersriet,2293
3213,Goldach,9052
3214,Mörschwil,3569
3215,Rorschach,9408
3216,Rorschacherberg,7090
3217,Steinach,3568
3218,Tübach,1418
3219,Untereggen,1060
322,Auswil,450
323,Bannwil,690
3231,Au (SG),7541
3232,Balgach,4598
3233,Berneck,3956
3234,Diepoldsau,6456
3235,Rheineck,3452
3236,St. Margrethen,5841
3237,Thal,6396
3238,Widnau,9490
324,Bleienbach,695
325,Busswil bei Melchnau,185
3251,Altstätten,11438
3252,Eichberg,1537
3253,Marbach (SG),2095
3254,Oberriet (SG),8811
3255,Rebstein,4480
3256,Rüthi (SG),2305
326,Gondiswil,733
3271,Buchs (SG),12531
3272,Gams,3339
3273,Grabs,6884
3274,Sennwald,5455
3275,Sevelen,4999
3276,Wartau,5237
329,Langenthal,15501
3291,Bad Ragaz,5874
3292,Flums,4919
3293,Mels,8605
3294,Pfäfers,1572
3295,Quarten,2873
3296,Sargans,6063
3297,Vilters-Wangs,4738
3298,Walenstadt,5590
33,Kleinandelfingen,2067
331,Lotzwil,2557
3311,Amden,1793
3312,Benken (SG),2916
3313,Kaltbrunn,4791
3315,Schänis,3758
3316,Weesen,1635
332,Madiswil,3239
333,Melchnau,1531
3338,Schmerikon,3738
3339,Uznach,6340
334,Obersteckholz,414
3340,Rapperswil-Jona,26962
3341,Gommiswald,5053
3342,Eschenbach (SG),9245
335,Oeschenbach,240
3352,Ebnat-Kappel,5034
3359,Wildhaus-Alt St. Johann,2667
336,Reisiswil,185
3360,Nesslau,3611
337,Roggwil (BE),3996
3372,Hemberg,914
3374,Lichtensteig,1907
3375,Oberhelfenschwil,1296
3378,Neckertal,4014
3379,Wattwil,8630
338,Rohrbach,1436
339,Rohrbachgraben,397
3392,Kirchberg (SG),8977
3393,Lütisburg,1541
3394,Mosnang,2890
3395,Bütschwil-Ganterschwil,4734
34,Laufen-Uhwiesen,1650
340,Rütschelen,568
3401,Degersheim,3986
3402,Flawil,10505
3405,Jonschwil,3788
3407,Oberuzwil,6423
3408,Uzwil,12816
341,Schwarzhäusern,506
342,Thunstetten,3338
3422,Niederbüren,1530
3423,Niederhelfenschwil,3069
3424,Oberbüren,4358
3426,Zuzwil (SG),4816
3427,Wil (SG),23751
344,Ursenbach,903
3441,Andwil (SG),1909
3442,Gaiserwald,8437
3443,Gossau (SG),18055
3444,Waldkirch,3509
345,Wynau,1637
35,Marthalen,1938
3503,Mutten,67
3506,Obervaz,2716
351,Bern,133115
3513,Lenz,538
3514,Schmitten (GR),245
352,Bolligen,6250
3521,Bravuogn,503
3522,Filisur,458
353,Bremgarten bei Bern,4386
354,Kirchlindach,3029
3542,Alvra,1331
3543,Surses,2356
355,Köniz,40938
3551,Brusio,1122
356,Muri bei Bern,13037
3561,Poschiavo,3534
357,Oberbalm,874
3572,Falera,608
3575,Laax,1725
358,Stettlen,3141
3581,Sagogn,702
3582,Schluein,624
359,Vechigen,5240
36,Oberstammheim,1191
360,Wohlen bei Bern,9136
3603,Vals,984
361,Zollikofen,10235
3611,Andiast,204
3616,Vuorz,333
3618,Lumnezia,2068
3619,Glion,4736
362,Ittigen,11388
363,Ostermundigen,17127
3633,Fürstenau,345
3637,Rothenbrunnen,304
3638,Scharans,818
3640,Sils im Domleschg,926
3661,Cazis,2132
3662,Flerden,247
3663,Masein,478
3668,Thusis,3044
3669,Tschappina,128
3670,Urmein,147
3672,Safiental,897
3673,Domleschg,1954
3681,Avers,168
3691,Hinterrhein,68
3693,Nufenen,150
3694,Splügen,377
3695,Sufers,126
37,Ossingen,1456
3701,Andeer,948
3703,Casti-Wergenstein,52
3705,Donat,214
3707,Lohn (GR),44
3708,Mathon,51
371,Bienne,54456
3711,Rongellen,61
3712,Zillis-Reischen,391
3713,Ferrera,79
372,Evilard,2601
3721,Bonaduz,3229
3722,Ems,8043
3723,Rhäzüns,1463
3731,Felsberg,2547
3732,Flims,2722
3733,Tamins,1201
3734,Trin,1340
3746,Zernez,1540
3752,Samnaun,758
3762,Scuol,4638
3764,Valsot,876
3781,Bever,616
3782,Schlarigna,1499
3783,Madulain,216
3784,Pontresina,2197
3785,La Punt-Chamues-ch,745
3786,Samedan,2980
3787,St. Moritz,5084
3788,S-chanf,694
3789,Segl,714
3790,Silvaplana,1054
3791,Zuoz,1214
3792,Bregaglia,1537
38,Rheinau,1302
3804,Buseno,92
3805,Castaneda,273
3808,Rossa,148
381,Arch,1540
3810,Santa Maria in Calanca,110
382,Büetigen,859
3821,Lostallo,785
3822,Mesocco,1354
3823,Soazza,353
383,Büren an der Aare,3596
3831,Cama,572
3832,Grono,1023
3833,Leggia,161
3834,Roveredo (GR),2484
3835,San Vittore,788
3836,Verdabbio,156
3837,Calanca,192
3847,Val Müstair,1538
385,Diessbach bei Büren,992
3851,Davos,11060
386,Dotzigen,1501
3861,Fideris,622
3862,Furna,215
3863,Jenaz,1168
387,Lengnau (BE),5071
3871,Klosters-Serneus,4476
388,Leuzigen,1250
3881,Conters im Prättigau,221
3882,Küblis,860
389,Meienried,53
3891,Luzein,1550
39,Thalheim an der Thur,919
390,Meinisberg,1311
3901,Chur,34880
391,Oberwil bei Büren,832
3911,Churwalden,1998
392,Pieterlen,4169
3921,Arosa,3219
3926,Maladers,523
393,Rüti bei Büren,848
3932,Tschiertschen-Praden,327
394,Wengi,592
3941,Haldenstein,1030
3945,Trimmis,3301
3946,Untervaz,2491
3947,Zizers,3431
3951,Fläsch,691
3952,Jenins,902
3953,Maienfeld,2835
3954,Malans,2310
3955,Landquart,8854
3961,Grüsch,2049
3962,Schiers,2627
3972,Seewis im Prättigau,1397
3981,Brigels,1263
3982,Mustér,2098
3983,Medel (Lucmagn),385
3985,Sumvitg,1216
3986,Tujetsch,1285
3987,Trun,1180
3988,Obersaxen Mundaun,1147
4,Hausen am Albis,3571
40,Trüllikon,1064
4001,Aarau,21036
4002,Biberstein,1545
4003,Buchs (AG),7911
4004,Densbüren,708
4005,Erlinsbach (AG),4091
4006,Gränichen,7624
4007,Hirschthal,1584
4008,Küttigen,6081
4009,Muhen,3879
401,Aefligen,1089
4010,Oberentfelden,7743
4012,Suhr,9990
4013,Unterentfelden,4102
402,Alchenstorf,589
4021,Baden,19222
4022,Bellikon,1549
4023,Bergdietikon,2751
4024,Birmenstorf (AG),2967
4026,Ennetbaden,3415
4027,Fislisbach,5526
4028,Freienwil,1035
4029,Gebenstorf,5157
403,Bäriswil,1054
4030,Killwangen,1981
4031,Künten,1700
4032,Mägenwil,2114
4033,Mellingen,5369
4034,Neuenhof,8750
4035,Niederrohrdorf,3747
4037,Oberrohrdorf,4082
4038,Obersiggenthal,8663
4039,Remetschwil,2104
404,Burgdorf,16295
4040,Spreitenbach,11531
4041,Stetten (AG),2203
4042,Turgi,3031
4044,Untersiggenthal,7224
4045,Wettingen,20535
4046,Wohlenschwil,1538
4047,Würenlingen,4618
4048,Würenlos,6336
4049,Ehrendingen,4775
405,Ersigen,2010
406,Hasle bei Burgdorf,3331
4061,Arni (AG),1868
4062,Berikon,4663
4063,Bremgarten (AG),7742
4064,Büttikon,1002
4065,Dottikon,3891
4066,Eggenwil,976
4067,Fischbach-Göslikon,1630
4068,Hägglingen,2448
407,Heimiswil,1589
4071,Jonen,2037
4072,Niederwil (AG),2850
4073,Oberlunkhofen,1978
4074,Oberwil-Lieli,2313
4075,Rudolfstetten-Friedlisberg,4489
4076,Sarmenstorf,2851
4077,Tägerig,1519
4078,Uezwil,460
4079,Unterlunkhofen,1355
408,Hellsau,206
4080,Villmergen,7210
4081,Widen,3651
4082,Wohlen (AG),15824
4083,Zufikon,4404
4084,Islisberg,632
409,Hindelbank,2458
4091,Auenstein,1584
4092,Birr,4522
4093,Birrhard,695
4094,Bözen,740
4095,Brugg,11204
4096,Effingen,603
4097,Elfingen,284
4099,Habsburg,424
41,Truttikon,469
410,Höchstetten,287
4100,Hausen (AG),3491
4104,Lupfig,2373
4105,Mandach,344
4106,Mönthal,388
4107,Mülligen,1054
